Comunidades Autónomas, Provincias y Municipios;Consumo eléctrico;Total
04048 Gallardos (Los);Viviendas de uso esporádico;173
04048 Gallardos (Los);Viviendas de uso esporádico (entre 251 y 500 kwh);95
04048 Gallardos (Los);Viviendas de uso esporádico (entre 501 y 750 kwh);78
04048 Gallardos (Los);Viviendas con cosumo entre 751 y 1.000 kwh;74
04048 Gallardos (Los);Viviendas con cosumo entre 1.001 y 2.000 kwh;235
04048 Gallardos (Los);Viviendas con cosumo entre 2.001 y 3.000 kwh;246
04048 Gallardos (Los);Viviendas con cosumo entre 3.001 y 4.000 kwh;223
04048 Gallardos (Los);Viviendas con cosumo entre 4.001 y 5.000 kwh;145
04048 Gallardos (Los);Viviendas con cosumo entre 5.001 y 6.000 kwh;77
04048 Gallardos (Los);Viviendas con cosumo entre 6.001 y 7.000 kwh;47
04048 Gallardos (Los);Viviendas con cosumo entre 7.001 y 8.000 kwh;27
04048 Gallardos (Los);Viviendas con cosumo entre 8.001 y 9.000 kwh;15
04048 Gallardos (Los);Viviendas con cosumo entre 9.001 y 10.000 kwh;15
04048 Gallardos (Los);Viviendas con consumo mayor de 10.000 kwh;27
04049 Garrucha;Viviendas totales;7.060
04049 Garrucha;Viviendas vacías;1.140
04049 Garrucha;Mediana consumo anual;1.812
04049 Garrucha;Viviendas con bajo consumo;554
04049 Garrucha;Viviendas de uso esporádico;1.149
04049 Garrucha;Viviendas de uso esporádico (entre 251 y 500 kwh);644
04049 Garrucha;Viviendas de uso esporádico (entre 501 y 750 kwh);505
04049 Garrucha;Viviendas con cosumo entre 751 y 1.000 kwh;399
04049 Garrucha;Viviendas con cosumo entre 1.001 y 2.000 kwh;1.337
04049 Garrucha;Viviendas con cosumo entre 2.001 y 3.000 kwh;931
04049 Garrucha;Viviendas con cosumo entre 3.001 y 4.000 kwh;726
04049 Garrucha;Viviendas con cosumo entre 4.001 y 5.000 kwh;391
04049 Garrucha;Viviendas con cosumo entre 5.001 y 6.000 kwh;211
04049 Garrucha;Viviendas con cosumo entre 6.001 y 7.000 kwh;85
04049 Garrucha;Viviendas con cosumo entre 7.001 y 8.000 kwh;50
04049 Garrucha;Viviendas con cosumo entre 8.001 y 9.000 kwh;23
04049 Garrucha;Viviendas con cosumo entre 9.001 y 10.000 kwh;13
04049 Garrucha;Viviendas con consumo mayor de 10.000 kwh;51
04050 Gérgal;Viviendas totales;1.153
04050 Gérgal;Viviendas vacías;446
04050 Gérgal;Mediana consumo anual;1.506
04050 Gérgal;Viviendas con bajo consumo;74
04050 Gérgal;Viviendas de uso esporádico;152
04050 Gérgal;Viviendas de uso esporádico (entre 251 y 500 kwh);97
04050 Gérgal;Viviendas de uso esporádico (entre 501 y 750 kwh);55
04050 Gérgal;Viviendas con cosumo entre 751 y 1.000 kwh;57
04050 Gérgal;Viviendas con cosumo entre 1.001 y 2.000 kwh;180
04050 Gérgal;Viviendas con cosumo entre 2.001 y 3.000 kwh;92
04050 Gérgal;Viviendas con cosumo entre 3.001 y 4.000 kwh;62
04050 Gérgal;Viviendas con cosumo entre 4.001 y 5.000 kwh;36
04050 Gérgal;Viviendas con cosumo entre 5.001 y 6.000 kwh;18
04050 Gérgal;Viviendas con cosumo entre 6.001 y 7.000 kwh;10
04050 Gérgal;Viviendas con cosumo entre 7.001 y 8.000 kwh;4
04050 Gérgal;Viviendas con cosumo entre 8.001 y 9.000 kwh;5
04050 Gérgal;Viviendas con cosumo entre 9.001 y 10.000 kwh;6
04050 Gérgal;Viviendas con consumo mayor de 10.000 kwh;11
04052 Huércal de Almería;Viviendas totales;7.221
04052 Huércal de Almería;Viviendas vacías;489
04052 Huércal de Almería;Mediana consumo anual;3.359
04052 Huércal de Almería;Viviendas con bajo consumo;92
04052 Huércal de Almería;Viviendas de uso esporádico;354
04052 Huércal de Almería;Viviendas de uso esporádico (entre 251 y 500 kwh);178
04052 Huércal de Almería;Viviendas de uso esporádico (entre 501 y 750 kwh);176
04052 Huércal de Almería;Viviendas con cosumo entre 751 y 1.000 kwh;166
04052 Huércal de Almería;Viviendas con cosumo entre 1.001 y 2.000 kwh;943
04052 Huércal de Almería;Viviendas con cosumo entre 2.001 y 3.000 kwh;1.307
04052 Huércal de Almería;Viviendas con cosumo entre 3.001 y 4.000 kwh;1.411
04052 Huércal de Almería;Viviendas con cosumo entre 4.001 y 5.000 kwh;1.069
04052 Huércal de Almería;Viviendas con cosumo entre 5.001 y 6.000 kwh;654
04052 Huércal de Almería;Viviendas con cosumo entre 6.001 y 7.000 kwh;347
04052 Huércal de Almería;Viviendas con cosumo entre 7.001 y 8.000 kwh;168
04052 Huércal de Almería;Viviendas con cosumo entre 8.001 y 9.000 kwh;88
04052 Huércal de Almería;Viviendas con cosumo entre 9.001 y 10.000 kwh;44
04052 Huércal de Almería;Viviendas con consumo mayor de 10.000 kwh;89
04053 Huércal-Overa;Viviendas totales;11.071
04053 Huércal-Overa;Viviendas vacías;2.611
04053 Huércal-Overa;Mediana consumo anual;2.438
04053 Huércal-Overa;Viviendas con bajo consumo;254
04053 Huércal-Overa;Viviendas de uso esporádico;853
04053 Huércal-Overa;Viviendas de uso esporádico (entre 251 y 500 kwh);421
04053 Huércal-Overa;Viviendas de uso esporádico (entre 501 y 750 kwh);432
04053 Huércal-Overa;Viviendas con cosumo entre 751 y 1.000 kwh;448
04053 Huércal-Overa;Viviendas con cosumo entre 1.001 y 2.000 kwh;1.994
04053 Huércal-Overa;Viviendas con cosumo entre 2.001 y 3.000 kwh;1.807
04053 Huércal-Overa;Viviendas con cosumo entre 3.001 y 4.000 kwh;1.330
04053 Huércal-Overa;Viviendas con cosumo entre 4.001 y 5.000 kwh;790
04053 Huércal-Overa;Viviendas con cosumo entre 5.001 y 6.000 kwh;459
04053 Huércal-Overa;Viviendas con cosumo entre 6.001 y 7.000 kwh;214
04053 Huércal-Overa;Viviendas con cosumo entre 7.001 y 8.000 kwh;99
04053 Huércal-Overa;Viviendas con cosumo entre 8.001 y 9.000 kwh;59
04053 Huércal-Overa;Viviendas con cosumo entre 9.001 y 10.000 kwh;39
04053 Huércal-Overa;Viviendas con consumo mayor de 10.000 kwh;114
04057 Láujar de Andarax;Viviendas totales;1.469
04057 Láujar de Andarax;Viviendas vacías;447
04057 Láujar de Andarax;Mediana consumo anual;1.880
04057 Láujar de Andarax;Viviendas con bajo consumo;120
04057 Láujar de Andarax;Viviendas de uso esporádico;200
04057 Láujar de Andarax;Viviendas de uso esporádico (entre 251 y 500 kwh);112
04057 Láujar de Andarax;Viviendas de uso esporádico (entre 501 y 750 kwh);88
04057 Láujar de Andarax;Viviendas con cosumo entre 751 y 1.000 kwh;69
04057 Láujar de Andarax;Viviendas con cosumo entre 1.001 y 2.000 kwh;212
04057 Láujar de Andarax;Viviendas con cosumo entre 2.001 y 3.000 kwh;180
04057 Láujar de Andarax;Viviendas con cosumo entre 3.001 y 4.000 kwh;85
04057 Láujar de Andarax;Viviendas con cosumo entre 4.001 y 5.000 kwh;69
04057 Láujar de Andarax;Viviendas con cosumo entre 5.001 y 6.000 kwh;28
04057 Láujar de Andarax;Viviendas con cosumo entre 6.001 y 7.000 kwh;20
04057 Láujar de Andarax;Viviendas con cosumo entre 7.001 y 8.000 kwh;10
04057 Láujar de Andarax;Viviendas con cosumo entre 8.001 y 9.000 kwh;13
04057 Láujar de Andarax;Viviendas con cosumo entre 9.001 y 10.000 kwh;4
04057 Láujar de Andarax;Viviendas con consumo mayor de 10.000 kwh;12
04059 Lubrín;Viviendas totales;1.878
04059 Lubrín;Viviendas vacías;845
04059 Lubrín;Mediana consumo anual;1.935
04059 Lubrín;Viviendas con bajo consumo;110
04059 Lubrín;Viviendas de uso esporádico;176
04059 Lubrín;Viviendas de uso esporádico (entre 251 y 500 kwh);95
04059 Lubrín;Viviendas de uso esporádico (entre 501 y 750 kwh);81
04059 Lubrín;Viviendas con cosumo entre 751 y 1.000 kwh;82
04059 Lubrín;Viviendas con cosumo entre 1.001 y 2.000 kwh;219
04059 Lubrín;Viviendas con cosumo entre 2.001 y 3.000 kwh;179
04059 Lubrín;Viviendas con cosumo entre 3.001 y 4.000 kwh;110
04059 Lubrín;Viviendas con cosumo entre 4.001 y 5.000 kwh;76
04059 Lubrín;Viviendas con cosumo entre 5.001 y 6.000 kwh;35
04059 Lubrín;Viviendas con cosumo entre 6.001 y 7.000 kwh;17
04059 Lubrín;Viviendas con cosumo entre 7.001 y 8.000 kwh;6
04059 Lubrín;Viviendas con cosumo entre 8.001 y 9.000 kwh;6
04059 Lubrín;Viviendas con cosumo entre 9.001 y 10.000 kwh;6
04059 Lubrín;Viviendas con consumo mayor de 10.000 kwh;11
04062 Macael;Viviendas totales;3.006
04062 Macael;Viviendas vacías;581
04062 Macael;Mediana consumo anual;2.464
04062 Macael;Viviendas con bajo consumo;89
04062 Macael;Viviendas de uso esporádico;256
04062 Macael;Viviendas de uso esporádico (entre 251 y 500 kwh);115
04062 Macael;Viviendas de uso esporádico (entre 501 y 750 kwh);141
04062 Macael;Viviendas con cosumo entre 751 y 1.000 kwh;121
04062 Macael;Viviendas con cosumo entre 1.001 y 2.000 kwh;524
04062 Macael;Viviendas con cosumo entre 2.001 y 3.000 kwh;551
04062 Macael;Viviendas con cosumo entre 3.001 y 4.000 kwh;409
04062 Macael;Viviendas con cosumo entre 4.001 y 5.000 kwh;209
04062 Macael;Viviendas con cosumo entre 5.001 y 6.000 kwh;118
04062 Macael;Viviendas con cosumo entre 6.001 y 7.000 kwh;71
04062 Macael;Viviendas con cosumo entre 7.001 y 8.000 kwh;32
04062 Macael;Viviendas con cosumo entre 8.001 y 9.000 kwh;12
04062 Macael;Viviendas con cosumo entre 9.001 y 10.000 kwh;12
04062 Macael;Viviendas con consumo mayor de 10.000 kwh;21
04063 María;Viviendas totales;1.128
04063 María;Viviendas vacías;444
04063 María;Mediana consumo anual;2.160
04063 María;Viviendas con bajo consumo;91
04063 María;Viviendas de uso esporádico;118
04063 María;Viviendas de uso esporádico (entre 251 y 500 kwh);72
04063 María;Viviendas de uso esporádico (entre 501 y 750 kwh);46
04063 María;Viviendas con cosumo entre 751 y 1.000 kwh;36
04063 María;Viviendas con cosumo entre 1.001 y 2.000 kwh;118
04063 María;Viviendas con cosumo entre 2.001 y 3.000 kwh;128
04063 María;Viviendas con cosumo entre 3.001 y 4.000 kwh;86
04063 María;Viviendas con cosumo entre 4.001 y 5.000 kwh;40
04063 María;Viviendas con cosumo entre 5.001 y 6.000 kwh;22
04063 María;Viviendas con cosumo entre 6.001 y 7.000 kwh;14
04063 María;Viviendas con cosumo entre 7.001 y 8.000 kwh;15
04063 María;Viviendas con cosumo entre 8.001 y 9.000 kwh;2
04063 María;Viviendas con cosumo entre 9.001 y 10.000 kwh;3
04063 María;Viviendas con consumo mayor de 10.000 kwh;11
04064 Mojácar;Viviendas totales;9.663
04064 Mojácar;Viviendas vacías;2.424
04064 Mojácar;Mediana consumo anual;1.723
04064 Mojácar;Viviendas con bajo consumo;625
04064 Mojácar;Viviendas de uso esporádico;1.513
04064 Mojácar;Viviendas de uso esporádico (entre 251 y 500 kwh);774
04064 Mojácar;Viviendas de uso esporádico (entre 501 y 750 kwh);739
04064 Mojácar;Viviendas con cosumo entre 751 y 1.000 kwh;597
04064 Mojácar;Viviendas con cosumo entre 1.001 y 2.000 kwh;1.550
04064 Mojácar;Viviendas con cosumo entre 2.001 y 3.000 kwh;1.036
04064 Mojácar;Viviendas con cosumo entre 3.001 y 4.000 kwh;722
04064 Mojácar;Viviendas con cosumo entre 4.001 y 5.000 kwh;444
04064 Mojácar;Viviendas con cosumo entre 5.001 y 6.000 kwh;244
04064 Mojácar;Viviendas con cosumo entre 6.001 y 7.000 kwh;147
04064 Mojácar;Viviendas con cosumo entre 7.001 y 8.000 kwh;107
04064 Mojácar;Viviendas con cosumo entre 8.001 y 9.000 kwh;71
04064 Mojácar;Viviendas con cosumo entre 9.001 y 10.000 kwh;45
04064 Mojácar;Viviendas con consumo mayor de 10.000 kwh;138
04066 Níjar;Viviendas totales;15.503
04066 Níjar;Viviendas vacías;1.360
04066 Níjar;Mediana consumo anual;2.594
04066 Níjar;Viviendas con bajo consumo;443
04066 Níjar;Viviendas de uso esporádico;1.765
04066 Níjar;Viviendas de uso esporádico (entre 251 y 500 kwh);829
04066 Níjar;Viviendas de uso esporádico (entre 501 y 750 kwh);936
04066 Níjar;Viviendas con cosumo entre 751 y 1.000 kwh;845
04066 Níjar;Viviendas con cosumo entre 1.001 y 2.000 kwh;2.756
04066 Níjar;Viviendas con cosumo entre 2.001 y 3.000 kwh;2.362
04066 Níjar;Viviendas con cosumo entre 3.001 y 4.000 kwh;1.784
04066 Níjar;Viviendas con cosumo entre 4.001 y 5.000 kwh;1.391
04066 Níjar;Viviendas con cosumo entre 5.001 y 6.000 kwh;931
04066 Níjar;Viviendas con cosumo entre 6.001 y 7.000 kwh;635
04066 Níjar;Viviendas con cosumo entre 7.001 y 8.000 kwh;357
04066 Níjar;Viviendas con cosumo entre 8.001 y 9.000 kwh;233
04066 Níjar;Viviendas con cosumo entre 9.001 y 10.000 kwh;163
04066 Níjar;Viviendas con consumo mayor de 10.000 kwh;478
04069 Olula del Río;Viviendas totales;3.658
04069 Olula del Río;Viviendas vacías;661
04069 Olula del Río;Mediana consumo anual;2.505
04069 Olula del Río;Viviendas con bajo consumo;97
04069 Olula del Río;Viviendas de uso esporádico;250
04069 Olula del Río;Viviendas de uso esporádico (entre 251 y 500 kwh);132
04069 Olula del Río;Viviendas de uso esporádico (entre 501 y 750 kwh);118
04069 Olula del Río;Viviendas con cosumo entre 751 y 1.000 kwh;147
04069 Olula del Río;Viviendas con cosumo entre 1.001 y 2.000 kwh;694
04069 Olula del Río;Viviendas con cosumo entre 2.001 y 3.000 kwh;702
04069 Olula del Río;Viviendas con cosumo entre 3.001 y 4.000 kwh;494
04069 Olula del Río;Viviendas con cosumo entre 4.001 y 5.000 kwh;269
04069 Olula del Río;Viviendas con cosumo entre 5.001 y 6.000 kwh;151
04069 Olula del Río;Viviendas con cosumo entre 6.001 y 7.000 kwh;72
04069 Olula del Río;Viviendas con cosumo entre 7.001 y 8.000 kwh;35
04069 Olula del Río;Viviendas con cosumo entre 8.001 y 9.000 kwh;23
04069 Olula del Río;Viviendas con cosumo entre 9.001 y 10.000 kwh;15
04069 Olula del Río;Viviendas con consumo mayor de 10.000 kwh;48
04070 Oria;Viviendas totales;1.946
04070 Oria;Viviendas vacías;681
04070 Oria;Mediana consumo anual;2.237
04070 Oria;Viviendas con bajo consumo;94
04070 Oria;Viviendas de uso esporádico;175
04070 Oria;Viviendas de uso esporádico (entre 251 y 500 kwh);93
04070 Oria;Viviendas de uso esporádico (entre 501 y 750 kwh);82
04070 Oria;Viviendas con cosumo entre 751 y 1.000 kwh;74
04070 Oria;Viviendas con cosumo entre 1.001 y 2.000 kwh;270
04070 Oria;Viviendas con cosumo entre 2.001 y 3.000 kwh;240
04070 Oria;Viviendas con cosumo entre 3.001 y 4.000 kwh;164
04070 Oria;Viviendas con cosumo entre 4.001 y 5.000 kwh;98
04070 Oria;Viviendas con cosumo entre 5.001 y 6.000 kwh;66
04070 Oria;Viviendas con cosumo entre 6.001 y 7.000 kwh;35
04070 Oria;Viviendas con cosumo entre 7.001 y 8.000 kwh;18
04070 Oria;Viviendas con cosumo entre 8.001 y 9.000 kwh;5
04070 Oria;Viviendas con cosumo entre 9.001 y 10.000 kwh;3
04070 Oria;Viviendas con consumo mayor de 10.000 kwh;23
04072 Partaloa;Viviendas totales;641
04072 Partaloa;Viviendas vacías;200
04072 Partaloa;Mediana consumo anual;2.740
04072 Partaloa;Viviendas con bajo consumo;8
04072 Partaloa;Viviendas de uso esporádico;54
04072 Partaloa;Viviendas de uso esporádico (entre 251 y 500 kwh);30
04072 Partaloa;Viviendas de uso esporádico (entre 501 y 750 kwh);24
04072 Partaloa;Viviendas con cosumo entre 751 y 1.000 kwh;18
04072 Partaloa;Viviendas con cosumo entre 1.001 y 2.000 kwh;95
04072 Partaloa;Viviendas con cosumo entre 2.001 y 3.000 kwh;65
04072 Partaloa;Viviendas con cosumo entre 3.001 y 4.000 kwh;59
04072 Partaloa;Viviendas con cosumo entre 4.001 y 5.000 kwh;50
04072 Partaloa;Viviendas con cosumo entre 5.001 y 6.000 kwh;36
04072 Partaloa;Viviendas con cosumo entre 6.001 y 7.000 kwh;23
04072 Partaloa;Viviendas con cosumo entre 7.001 y 8.000 kwh;17
04072 Partaloa;Viviendas con cosumo entre 8.001 y 9.000 kwh;4
04072 Partaloa;Viviendas con cosumo entre 9.001 y 10.000 kwh;2
04072 Partaloa;Viviendas con consumo mayor de 10.000 kwh;10
04074 Pechina;Viviendas totales;2.689
04074 Pechina;Viviendas vacías;878
04074 Pechina;Mediana consumo anual;2.918
04074 Pechina;Viviendas con bajo consumo;57
04074 Pechina;Viviendas de uso esporádico;186
04074 Pechina;Viviendas de uso esporádico (entre 251 y 500 kwh);96
04074 Pechina;Viviendas de uso esporádico (entre 501 y 750 kwh);90
04074 Pechina;Viviendas con cosumo entre 751 y 1.000 kwh;67
04074 Pechina;Viviendas con cosumo entre 1.001 y 2.000 kwh;340
04074 Pechina;Viviendas con cosumo entre 2.001 y 3.000 kwh;306
04074 Pechina;Viviendas con cosumo entre 3.001 y 4.000 kwh;286
04074 Pechina;Viviendas con cosumo entre 4.001 y 5.000 kwh;235
04074 Pechina;Viviendas con cosumo entre 5.001 y 6.000 kwh;136
04074 Pechina;Viviendas con cosumo entre 6.001 y 7.000 kwh;86
04074 Pechina;Viviendas con cosumo entre 7.001 y 8.000 kwh;45
04074 Pechina;Viviendas con cosumo entre 8.001 y 9.000 kwh;21
04074 Pechina;Viviendas con cosumo entre 9.001 y 10.000 kwh;16
04074 Pechina;Viviendas con consumo mayor de 10.000 kwh;30
04075 Pulpí;Viviendas totales;8.663
04075 Pulpí;Viviendas vacías;1.986
04075 Pulpí;Mediana consumo anual;1.814
04075 Pulpí;Viviendas con bajo consumo;498
04075 Pulpí;Viviendas de uso esporádico;1.324
04075 Pulpí;Viviendas de uso esporádico (entre 251 y 500 kwh);687
04075 Pulpí;Viviendas de uso esporádico (entre 501 y 750 kwh);637
04075 Pulpí;Viviendas con cosumo entre 751 y 1.000 kwh;531
04075 Pulpí;Viviendas con cosumo entre 1.001 y 2.000 kwh;1.454
04075 Pulpí;Viviendas con cosumo entre 2.001 y 3.000 kwh;1.042
04075 Pulpí;Viviendas con cosumo entre 3.001 y 4.000 kwh;770
04075 Pulpí;Viviendas con cosumo entre 4.001 y 5.000 kwh;451
04075 Pulpí;Viviendas con cosumo entre 5.001 y 6.000 kwh;261
04075 Pulpí;Viviendas con cosumo entre 6.001 y 7.000 kwh;143
04075 Pulpí;Viviendas con cosumo entre 7.001 y 8.000 kwh;63
04075 Pulpí;Viviendas con cosumo entre 8.001 y 9.000 kwh;35
04075 Pulpí;Viviendas con cosumo entre 9.001 y 10.000 kwh;23
04075 Pulpí;Viviendas con consumo mayor de 10.000 kwh;82
04076 Purchena;Viviendas totales;1.161
04076 Purchena;Viviendas vacías;322
04076 Purchena;Mediana consumo anual;2.094
04076 Purchena;Viviendas con bajo consumo;52
04076 Purchena;Viviendas de uso esporádico;133
04076 Purchena;Viviendas de uso esporádico (entre 251 y 500 kwh);83
04076 Purchena;Viviendas de uso esporádico (entre 501 y 750 kwh);50
04076 Purchena;Viviendas con cosumo entre 751 y 1.000 kwh;52
04076 Purchena;Viviendas con cosumo entre 1.001 y 2.000 kwh;191
04076 Purchena;Viviendas con cosumo entre 2.001 y 3.000 kwh;175
04076 Purchena;Viviendas con cosumo entre 3.001 y 4.000 kwh;100
04076 Purchena;Viviendas con cosumo entre 4.001 y 5.000 kwh;68
04076 Purchena;Viviendas con cosumo entre 5.001 y 6.000 kwh;24
04076 Purchena;Viviendas con cosumo entre 6.001 y 7.000 kwh;10
04076 Purchena;Viviendas con cosumo entre 7.001 y 8.000 kwh;8
04076 Purchena;Viviendas con cosumo entre 8.001 y 9.000 kwh;11
04076 Purchena;Viviendas con cosumo entre 9.001 y 10.000 kwh;1
04076 Purchena;Viviendas con consumo mayor de 10.000 kwh;14
04078 Rioja;Viviendas totales;800
04078 Rioja;Viviendas vacías;149
04078 Rioja;Mediana consumo anual;2.761
04078 Rioja;Viviendas con bajo consumo;24
04078 Rioja;Viviendas de uso esporádico;74
04078 Rioja;Viviendas de uso esporádico (entre 251 y 500 kwh);27
04078 Rioja;Viviendas de uso esporádico (entre 501 y 750 kwh);47
04078 Rioja;Viviendas con cosumo entre 751 y 1.000 kwh;37
04078 Rioja;Viviendas con cosumo entre 1.001 y 2.000 kwh;120
04078 Rioja;Viviendas con cosumo entre 2.001 y 3.000 kwh;113
04078 Rioja;Viviendas con cosumo entre 3.001 y 4.000 kwh;104
04078 Rioja;Viviendas con cosumo entre 4.001 y 5.000 kwh;83
04078 Rioja;Viviendas con cosumo entre 5.001 y 6.000 kwh;40
04078 Rioja;Viviendas con cosumo entre 6.001 y 7.000 kwh;23
04078 Rioja;Viviendas con cosumo entre 7.001 y 8.000 kwh;14
04078 Rioja;Viviendas con cosumo entre 8.001 y 9.000 kwh;7
04078 Rioja;Viviendas con cosumo entre 9.001 y 10.000 kwh;2
04078 Rioja;Viviendas con consumo mayor de 10.000 kwh;10
04079 Roquetas de Mar;Viviendas totales;62.150
04079 Roquetas de Mar;Viviendas vacías;10.367
04079 Roquetas de Mar;Mediana consumo anual;2.286
04079 Roquetas de Mar;Viviendas con bajo consumo;2.271
04079 Roquetas de Mar;Viviendas de uso esporádico;7.159
04079 Roquetas de Mar;Viviendas de uso esporádico (entre 251 y 500 kwh);3.634
04079 Roquetas de Mar;Viviendas de uso esporádico (entre 501 y 750 kwh);3.525
04079 Roquetas de Mar;Viviendas con cosumo entre 751 y 1.000 kwh;3.058
04079 Roquetas de Mar;Viviendas con cosumo entre 1.001 y 2.000 kwh;11.366
04079 Roquetas de Mar;Viviendas con cosumo entre 2.001 y 3.000 kwh;10.223
04079 Roquetas de Mar;Viviendas con cosumo entre 3.001 y 4.000 kwh;7.530
