Comunidades Autónomas, Provincias y Municipios;Consumo eléctrico;Total
04045 Fiñana;Viviendas de uso esporádico (entre 501 y 750 kwh);121
04045 Fiñana;Viviendas con cosumo entre 751 y 1.000 kwh;69
04045 Fiñana;Viviendas con cosumo entre 1.001 y 2.000 kwh;267
04045 Fiñana;Viviendas con cosumo entre 2.001 y 3.000 kwh;183
04045 Fiñana;Viviendas con cosumo entre 3.001 y 4.000 kwh;138
04045 Fiñana;Viviendas con cosumo entre 4.001 y 5.000 kwh;84
04045 Fiñana;Viviendas con cosumo entre 5.001 y 6.000 kwh;44
04045 Fiñana;Viviendas con cosumo entre 6.001 y 7.000 kwh;13
04045 Fiñana;Viviendas con cosumo entre 7.001 y 8.000 kwh;8
04045 Fiñana;Viviendas con cosumo entre 8.001 y 9.000 kwh;13
04045 Fiñana;Viviendas con cosumo entre 9.001 y 10.000 kwh;7
04045 Fiñana;Viviendas con consumo mayor de 10.000 kwh;13
04046 Fondón;Viviendas totales;1.452
04046 Fondón;Viviendas vacías;499
04046 Fondón;Mediana consumo anual;1.126
04046 Fondón;Viviendas con bajo consumo;118
04046 Fondón;Viviendas de uso esporádico;294
04046 Fondón;Viviendas de uso esporádico (entre 251 y 500 kwh);165
04046 Fondón;Viviendas de uso esporádico (entre 501 y 750 kwh);129
04046 Fondón;Viviendas con cosumo entre 751 y 1.000 kwh;86
04046 Fondón;Viviendas con cosumo entre 1.001 y 2.000 kwh;183
04046 Fondón;Viviendas con cosumo entre 2.001 y 3.000 kwh;113
04046 Fondón;Viviendas con cosumo entre 3.001 y 4.000 kwh;75
04046 Fondón;Viviendas con cosumo entre 4.001 y 5.000 kwh;38
04046 Fondón;Viviendas con cosumo entre 5.001 y 6.000 kwh;17
04046 Fondón;Viviendas con cosumo entre 6.001 y 7.000 kwh;15
04046 Fondón;Viviendas con cosumo entre 7.001 y 8.000 kwh;2
04046 Fondón;Viviendas con cosumo entre 8.001 y 9.000 kwh;1
04046 Fondón;Viviendas con cosumo entre 9.001 y 10.000 kwh;6
04046 Fondón;Viviendas con consumo mayor de 10.000 kwh;5
04047 Gádor;Viviendas totales;1.701
04047 Gádor;Viviendas vacías;471
04047 Gádor;Mediana consumo anual;2.594
04047 Gádor;Viviendas con bajo consumo;53
04047 Gádor;Viviendas de uso esporádico;154
04047 Gádor;Viviendas de uso esporádico (entre 251 y 500 kwh);70
04047 Gádor;Viviendas de uso esporádico (entre 501 y 750 kwh);84
04047 Gádor;Viviendas con cosumo entre 751 y 1.000 kwh;70
04047 Gádor;Viviendas con cosumo entre 1.001 y 2.000 kwh;238
04047 Gádor;Viviendas con cosumo entre 2.001 y 3.000 kwh;220
04047 Gádor;Viviendas con cosumo entre 3.001 y 4.000 kwh;189
04047 Gádor;Viviendas con cosumo entre 4.001 y 5.000 kwh;163
04047 Gádor;Viviendas con cosumo entre 5.001 y 6.000 kwh;64
04047 Gádor;Viviendas con cosumo entre 6.001 y 7.000 kwh;36
04047 Gádor;Viviendas con cosumo entre 7.001 y 8.000 kwh;14
04047 Gádor;Viviendas con cosumo entre 8.001 y 9.000 kwh;8
04047 Gádor;Viviendas con cosumo entre 9.001 y 10.000 kwh;4
04047 Gádor;Viviendas con consumo mayor de 10.000 kwh;17
04048 Gallardos (Los);Viviendas totales;1.814
04048 Gallardos (Los);Viviendas vacías;450
04048 Gallardos (Los);Mediana consumo anual;2.656
04048 Gallardos (Los);Viviendas con bajo consumo;60
